Time,Exercise,Reps,Calories,Correct,Incorrect
2025-04-22 11:08:06,Right Dumbbell,0,0.0,0,0
2025-04-22 11:08:24,Right Dumbbell,0,0.0,0,0
2025-04-22 11:08:42,Right Dumbbell,0,0.0,0,0
2025-04-22 11:25:29,Left Dumbbell,0,0.0,0,0
2025-04-22 11:26:01,Left Dumbbell,0,0.0,0,0
2025-04-22 11:26:10,Right Dumbbell,0,0.0,0,0
2025-04-22 11:30:12,Right Dumbbell,0,0.0,0,0
2025-04-22 11:30:24,Right Dumbbell,0,0.0,0,0
2025-04-22 11:31:46,Right Dumbbell,10.0,2.5,20,0
2025-04-22 11:35:11,Shoulder Press,10.0,2.5,20,0
2025-04-22 11:45:09,Squats,0,0.0,0,0
2025-04-22 11:46:13,Squats,0,0.0,0,0
2025-04-22 11:56:46,Squats,0,0.0,0,0
